hash,count,paths
7c91b83705b76f4aede585abb8953828,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_IT/syllabus_it.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_IT/syllabus_it.md
0eb05e5d69abd3f9ed1e82b5f2888a4c,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_ET/syllabus_et.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_ET/syllabus_et.md
c7977121960061aacfba7632c8990b11,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT-BR/lab004_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT-BR/lab004_README.md
8d4c7ac50a1379d34ad2d2be17a6d682,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT-BR/lab005_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT-BR/lab005_README.md
838b71e86a6286f0e943208ae96b79e6,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT/lab004_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT/lab004_README.md
bde1757017614f2c124887464cb3319b,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT/lab005_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT/lab005_README.md
b43c855c4b8755586207915937b66ae1,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT-BR/lab001_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT-BR/lab001_README.md
ec114a9642e251058b17b1ed3c329985,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT-BR/lab002_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT-BR/lab002_README.md
aa52410ecb10144907b8c520ee78349c,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/Resumen_Ejecutivo_2025_04_22.docx; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/Resumen_Ejecutivo_2025_04_22.docx
0e0e1f2745bcf49e827d683bcc9d7361,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT-BR/lab003_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT-BR/lab003_README.md
fedba392a98faf7d75c73fd5ed16a582,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Syllabus_EL/syllabus_el.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Syllabus_EL/syllabus_el.md
b43396a24db219b99dc6bc49c03492bd,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_IT/lab005_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_IT/lab005_README.md
983a4b56841cfc5741fe5d94b7aa37a1,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-002-loky.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-002-loky.md
bfe2474e8a03590f45e59c19a843ca2f,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/.github/workflows/validate-pr-governance.yml; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/.github/workflows/validate-pr-governance.yml
c4622eb668e034f70d86e663704fc288,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/.github/workflows/verify-signatures.yml; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/.github/workflows/verify-signatures.yml
2681c95f2b9c8712546453f03b55a21e,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/progreso/index.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/progreso/index.md
83bdc1376f7fa1eb689374e21a8bb369,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/pitch/PITCH_LAB006.docx; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/pitch/PITCH_LAB006.docx
6b320c1902d4a4cac991ff8ee2689693,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/people/index.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/people/index.md
3fceeb0461cc0bec0f74a5eefb98519d,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/legal/firmados/README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/legal/firmados/README.md
e6b12f5fe5e73e68bbfe0900942ba090,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-011-onboarding.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-011-onboarding.md
e15881f28d218a3492e960bf4157adcb,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-011-onboarding-nuevos.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-011-onboarding-nuevos.md
4afb0cad5246c431431aca16ca9e01b2,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-010-firmas-oficiales.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-010-firmas-oficiales.md
34a10a5d2ee31eca75c1a04dbdf19643,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-009-seguridad.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-009-seguridad.md
277c9905527a90b8a34bf013cc3f0414,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-008-contribucion.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-008-contribucion.md
73d99c1f28a179cab2002f64c457ee2d,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-007-progreso.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-007-progreso.md
ad52b7f5ade0e88d11e99017becccbef,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-006-proyecto-real.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-006-proyecto-real.md
5aaa21f5ec05bc905fcad92145e39123,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-005-etica-evaluacion.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-005-etica-evaluacion.md
736576191f1762ead3f7e42403442236,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-004-gobernanza.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-004-gobernanza.md
696297335284af458b976b46038a497a,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-003-proposito.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-003-proposito.md
67e6d3a31a4fb09fe39d560ff110c5bb,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/roadmap-labs.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/roadmap-labs.md
1e0d8d218697a65529a89f32ff24c073,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/media/ATLANTYDE_Bienvenida_Sintetizada.pdf; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/media/ATLANTYDE_Bienvenida_Sintetizada.pdf
155e9e16ff057bf982e6bf799e675d66,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/labs/lab-001-angel.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/labs/lab-001-angel.md
46568b43fb1b7f09024c64d3676ae7fd,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/governance/README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/governance/README.md
330ac0e045fb6176b547d042230ab8f6,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/assets/images/matriz-raci-atlantyde.png; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/assets/images/matriz-raci-atlantyde.png
88ff154c91183d5ee3179a95f120725d,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_PT/lab001_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_PT/lab001_README.md
05617adf19300c5c8b9806f6ec8286a7,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_ET/lab003_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_ET/lab003_README.md
89d419dddcfa355f24fe9ebfebfe0037,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Readmes_IT/lab004_README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/Readmes_IT/lab004_README.md
3626027e84a3c1e54a55abbe0e8cfb03,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/media/slides/bienvenida_sintetizada.pdf; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/media/slides/bienvenida_sintetizada.pdf
c98c95dca2ab0a3cdfb403df5dcf991f,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/07_programa_cultura.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/07_programa_cultura.txt
1bee1ffd99572edd67733d422d1de320,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/06_tdah_axes.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/06_tdah_axes.txt
76cef16f1f4b6b19ebf52f0bfcf9ca9c,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/05_eda_summary.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/05_eda_summary.txt
8353cec1e25375191fd18be069174ee5,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/04_assets_and_ffmpeg.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/04_assets_and_ffmpeg.txt
bf485bd9a80c80160ae2308dad51e555,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/03_storyboard.csv; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/03_storyboard.csv
567c594079ec96db66c6fba40f7d1f97,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/02_plan_canva.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/02_plan_canva.txt
94883ae3993b939b34f01b6eefab135a,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/01_guion_narrativo.txt; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/01_guion_narrativo.txt
30914b3dbd6d509513ffbacb509c2541,2,PropSocialTech_v1(1)/auth/session.js; PropSocialTech_v1/auth/session.js
2b2760ecc22a13da72ee000ba83e1747,2,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/mkdocs.yml; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/mkdocs.yml
75f1eb8406b90bb75af25e833d306c1f,2,PropSocialTech_v1(1)/auth/whatsapp_auth.js; PropSocialTech_v1/auth/whatsapp_auth.js
